Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,Entry Short,2020-03-01 19:00,224.32,13.3749,-63.66,-2.12,-63.66,-0.06,159.96,5.33,134.82,4.49
1,Exit Short,Entry Long,2020-03-05 22:00,229.08,13.3749,-63.66,-2.12,-63.66,-0.06,159.96,5.33,134.82,4.49
2,Entry Short,Entry Short,2020-03-02 10:00,221.23,13.5686,-106.51,-3.55,-170.18,-0.11,34.74,1.16,178.70,5.95
2,Exit Short,Entry Long,2020-03-05 22:00,229.08,13.5686,-106.51,-3.55,-170.18,-0.11,34.74,1.16,178.70,5.95
3,Entry Short,Entry Short,2020-03-02 18:00,223.89,13.4017,-69.55,-2.32,-239.73,-0.07,57.90,1.93,140.85,4.69
3,Exit Short,Entry Long,2020-03-05 22:00,229.08,13.4017,-69.55,-2.32,-239.73,-0.07,57.90,1.93,140.85,4.69
4,Entry Short,Entry Short,2020-03-02 19:00,224.70,13.3427,-58.44,-1.95,-298.17,-0.06,68.45,2.28,129.42,4.32
4,Exit Short,Entry Long,2020-03-05 22:00,229.08,13.3427,-58.44,-1.95,-298.17,-0.06,68.45,2.28,129.42,4.32
5,Entry Short,Entry Short,2020-03-02 21:00,227.27,13.1742,-23.85,-0.8,-322.02,-0.02,101.44,3.39,93.93,3.14
5,Exit Short,Entry Long,2020-03-05 22:00,229.08,13.1742,-23.85,-0.8,-322.02,-0.02,101.44,3.39,93.93,3.14
6,Entry Long,Entry Long,2020-03-05 22:00,229.08,13.0543,-168.79,-5.64,-490.81,-0.17,298.29,9.97,168.79,5.64
6,Exit Long,Exit Long,2020-03-08 22:00,216.15,13.0543,-168.79,-5.64,-490.81,-0.17,298.29,9.97,168.79,5.64
7,Entry Long,Entry Long,2020-03-06 06:00,228.80,13.0669,-165.30,-5.53,-656.11,-0.17,302.24,10.11,165.30,5.53
7,Exit Long,Exit Long,2020-03-08 22:00,216.15,13.0669,-165.30,-5.53,-656.11,-0.17,302.24,10.11,165.30,5.53
8,Entry Long,Entry Long,2020-03-06 07:00,228.38,13.0917,-160.11,-5.36,-816.22,-0.16,308.31,10.31,160.11,5.36
8,Exit Long,Exit Long,2020-03-08 22:00,216.15,13.0917,-160.11,-5.36,-816.22,-0.16,308.31,10.31,160.11,5.36
9,Entry Long,Entry Long,2020-03-06 08:00,227.83,13.1205,-153.25,-5.13,-969.47,-0.15,316.20,10.58,153.25,5.13
9,Exit Long,Exit Long,2020-03-08 22:00,216.15,13.1205,-153.25,-5.13,-969.47,-0.15,316.20,10.58,153.25,5.13
10,Entry Long,Entry Long,2020-03-08 01:00,238.99,12.5811,-287.35,-9.56,-1256.82,-0.29,20.76,0.69,287.35,9.56
10,Exit Long,Exit Long,2020-03-08 22:00,216.15,12.5811,-287.35,-9.56,-1256.82,-0.29,20.76,0.69,287.35,9.56
11,Entry Short,Entry Short,2020-03-09 16:00,207.51,14.2706,804.01,27.15,-452.81,0.81,804.01,27.15,2.00,0.07
11,Exit Short,Exit Short,2020-03-12 17:00,151.17,14.2706,804.01,27.15,-452.81,0.81,804.01,27.15,2.00,0.07
12,Entry Short,Entry Short,2020-03-10 07:00,202.79,14.6161,754.48,25.45,301.67,0.76,754.48,25.45,49.84,1.68
12,Exit Short,Exit Short,2020-03-12 17:00,151.17,14.6161,754.48,25.45,301.67,0.76,754.48,25.45,49.84,1.68
13,Entry Short,Entry Short,2020-03-10 08:00,203.36,14.5727,760.55,25.66,1062.22,0.76,760.55,25.66,41.39,1.4
13,Exit Short,Exit Short,2020-03-12 17:00,151.17,14.5727,760.55,25.66,1062.22,0.76,760.55,25.66,41.39,1.4
14,Entry Short,Entry Short,2020-03-10 20:00,205.44,14.4135,782.22,26.42,1844.44,0.77,782.22,26.42,9.22,0.31
14,Exit Short,Exit Short,2020-03-12 17:00,151.17,14.4135,782.22,26.42,1844.44,0.77,782.22,26.42,9.22,0.31
15,Entry Short,Additional Short,2020-03-12 01:00,184.31,29,961.06,17.98,2805.50,0.94,961.06,17.98,327.41,6.13
15,Exit Short,Exit Short,2020-03-12 17:00,151.17,29,961.06,17.98,2805.50,0.94,961.06,17.98,327.41,6.13
16,Entry Short,Entry Short,2020-03-14 06:00,132.98,23.1822,10.43,0.34,2815.93,0.01,300.90,9.76,92.96,3.02
16,Exit Short,Exit Short,2020-03-16 04:00,132.53,23.1822,10.43,0.34,2815.93,0.01,300.90,9.76,92.96,3.02
17,Entry Short,Entry Short,2020-03-14 07:00,134.06,23.0002,35.19,1.14,2851.12,0.03,323.38,10.49,14.26,0.46
17,Exit Short,Exit Short,2020-03-16 04:00,132.53,23.0002,35.19,1.14,2851.12,0.03,323.38,10.49,14.26,0.46
18,Entry Short,Entry Short,2020-03-15 14:00,123.50,25.0746,-226.42,-7.31,2624.70,-0.22,83.75,2.7,226.42,7.31
18,Exit Short,Exit Short,2020-03-16 04:00,132.53,25.0746,-226.42,-7.31,2624.70,-0.22,83.75,2.7,226.42,7.31
19,Entry Short,Entry Short,2020-03-15 18:00,126.37,24.4629,-150.69,-4.87,2474.01,-0.15,151.91,4.91,150.69,4.87
19,Exit Short,Exit Short,2020-03-16 04:00,132.53,24.4629,-150.69,-4.87,2474.01,-0.15,151.91,4.91,150.69,4.87
20,Entry Short,Entry Short,2020-03-16 23:00,114.67,26.8116,-344.53,-11.21,2129.48,-0.34,205.38,6.68,344.53,11.21
20,Exit Short,Exit Short,2020-03-19 19:00,127.52,26.8116,-344.53,-11.21,2129.48,-0.34,205.38,6.68,344.53,11.21
21,Entry Short,Entry Short,2020-03-17 09:00,115.47,26.6132,-320.69,-10.44,1808.79,-0.31,149.30,4.86,320.69,10.44
21,Exit Short,Exit Short,2020-03-19 19:00,127.52,26.6132,-320.69,-10.44,1808.79,-0.31,149.30,4.86,320.69,10.44
22,Entry Short,Entry Short,2020-03-17 10:00,116.71,26.3324,-284.65,-9.26,1524.14,-0.28,180.38,5.87,284.65,9.26
22,Exit Short,Exit Short,2020-03-19 19:00,127.52,26.3324,-284.65,-9.26,1524.14,-0.28,180.38,5.87,284.65,9.26
23,Entry Short,Entry Short,2020-03-17 11:00,117.59,26.0935,-259.11,-8.44,1265.03,-0.26,201.70,6.57,259.11,8.44
23,Exit Short,Exit Short,2020-03-19 19:00,127.52,26.0935,-259.11,-8.44,1265.03,-0.26,201.70,6.57,259.11,8.44
24,Entry Short,Entry Short,2020-03-19 05:00,116.42,26.4,-293.04,-9.53,971.99,-0.29,46.99,1.53,293.04,9.53
24,Exit Short,Exit Short,2020-03-19 19:00,127.52,26.4,-293.04,-9.53,971.99,-0.29,46.99,1.53,293.04,9.53
