Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,Entry Short,2020-03-01 19:00,224.32,13.3749,-33.97,-1.13,-33.97,-0.03,159.96,5.33,134.82,4.49
1,Exit Short,Entry Long,2020-03-03 16:00,226.86,13.3749,-33.97,-1.13,-33.97,-0.03,159.96,5.33,134.82,4.49
2,Entry Short,Entry Short,2020-03-02 06:15,218.62,13.7303,-113.14,-3.77,-147.11,-0.11,35.01,1.17,216.66,7.22
2,Exit Short,Entry Long,2020-03-03 16:00,226.86,13.7303,-113.14,-3.77,-147.11,-0.11,35.01,1.17,216.66,7.22
3,Entry Short,Entry Short,2020-03-02 16:45,222.76,13.4612,-55.19,-1.84,-202.30,-0.06,9.42,0.31,156.69,5.23
3,Exit Short,Entry Long,2020-03-03 16:00,226.86,13.4612,-55.19,-1.84,-202.30,-0.06,9.42,0.31,156.69,5.23
4,Entry Short,Entry Short,2020-03-02 17:30,224.73,13.3338,-28.40,-0.95,-230.70,-0.03,29.73,0.99,128.94,4.3
4,Exit Short,Entry Long,2020-03-03 16:00,226.86,13.3338,-28.40,-0.95,-230.70,-0.03,29.73,0.99,128.94,4.3
5,Entry Long,Entry Long,2020-03-03 16:00,226.86,13.1948,-28.90,-0.97,-259.60,-0.03,73.89,2.47,96.19,3.21
5,Exit Long,Entry Short,2020-03-04 06:15,224.67,13.1948,-28.90,-0.97,-259.60,-0.03,73.89,2.47,96.19,3.21
6,Entry Long,Entry Long,2020-03-03 21:15,227.22,13.1715,-33.59,-1.12,-293.19,-0.03,29.50,0.99,100.76,3.37
6,Exit Long,Entry Short,2020-03-04 06:15,224.67,13.1715,-33.59,-1.12,-293.19,-0.03,29.50,0.99,100.76,3.37
7,Entry Short,Entry Short,2020-03-04 06:15,224.67,13.3109,-6.52,-0.22,-299.71,-0.01,28.75,0.96,55.64,1.86
7,Exit Short,Entry Long,2020-03-04 13:45,225.16,13.3109,-6.52,-0.22,-299.71,-0.01,28.75,0.96,55.64,1.86
8,Entry Long,Entry Long,2020-03-04 13:45,225.16,13.2839,-21.25,-0.71,-320.96,-0.02,27.36,0.91,65.49,2.19
8,Exit Long,Entry Short,2020-03-05 05:30,223.56,13.2839,-21.25,-0.71,-320.96,-0.02,27.36,0.91,65.49,2.19
9,Entry Short,Entry Short,2020-03-05 05:30,223.56,13.3761,-56.45,-1.89,-377.41,-0.06,13.91,0.47,140.85,4.71
9,Exit Short,Entry Long,2020-03-06 06:15,227.78,13.3761,-56.45,-1.89,-377.41,-0.06,13.91,0.47,140.85,4.71
10,Entry Short,Entry Short,2020-03-05 06:15,224.03,13.3484,-50.06,-1.67,-427.47,-0.05,9.74,0.33,134.28,4.49
10,Exit Short,Entry Long,2020-03-06 06:15,227.78,13.3484,-50.06,-1.67,-427.47,-0.05,9.74,0.33,134.28,4.49
11,Entry Short,Entry Short,2020-03-05 07:00,224.26,13.3327,-46.93,-1.57,-474.40,-0.05,0.40,0.01,131.06,4.38
11,Exit Short,Entry Long,2020-03-06 06:15,227.78,13.3327,-46.93,-1.57,-474.40,-0.05,0.40,0.01,131.06,4.38
12,Entry Long,Entry Long,2020-03-06 06:15,227.78,13.1131,-120.77,-4.04,-595.17,-0.12,316.68,10.6,120.77,4.04
12,Exit Long,Exit Long,2020-03-08 21:15,218.57,13.1131,-120.77,-4.04,-595.17,-0.12,316.68,10.6,120.77,4.04
13,Entry Long,Entry Long,2020-03-06 22:45,235.95,12.6715,-220.23,-7.37,-815.40,-0.22,202.49,6.77,220.23,7.37
13,Exit Long,Exit Long,2020-03-08 21:15,218.57,12.6715,-220.23,-7.37,-815.40,-0.22,202.49,6.77,220.23,7.37
14,Entry Long,Entry Long,2020-03-08 07:45,233.66,12.7864,-192.95,-6.46,-1008.35,-0.19,10.36,0.35,192.95,6.46
14,Exit Long,Exit Long,2020-03-08 21:15,218.57,12.7864,-192.95,-6.46,-1008.35,-0.19,10.36,0.35,192.95,6.46
15,Entry Long,Entry Long,2020-03-08 08:30,233.60,12.7854,-192.16,-6.43,-1200.51,-0.19,1.53,0.05,192.16,6.43
15,Exit Long,Exit Long,2020-03-08 21:15,218.57,12.7854,-192.16,-6.43,-1200.51,-0.19,1.53,0.05,192.16,6.43
16,Entry Long,Entry Long,2020-03-08 09:15,233.41,12.7975,-189.91,-6.36,-1390.43,-0.19,0.51,0.02,189.91,6.36
16,Exit Long,Exit Long,2020-03-08 21:15,218.57,12.7975,-189.91,-6.36,-1390.43,-0.19,0.51,0.02,189.91,6.36
17,Entry Short,Entry Short,2020-03-09 15:15,207.24,14.2726,861.78,29.14,-528.65,0.87,861.78,29.14,19.41,0.66
17,Exit Short,Exit Short,2020-03-12 17:30,146.86,14.2726,861.78,29.14,-528.65,0.87,861.78,29.14,19.41,0.66
18,Entry Short,Entry Short,2020-03-09 16:00,207.51,14.2506,864.30,29.23,335.65,0.87,864.30,29.23,2.00,0.07
18,Exit Short,Exit Short,2020-03-12 17:30,146.86,14.2506,864.30,29.23,335.65,0.87,864.30,29.23,2.00,0.07
19,Entry Short,Entry Short,2020-03-10 07:00,202.79,14.6057,816.90,27.58,1152.55,0.81,816.90,27.58,49.81,1.68
19,Exit Short,Exit Short,2020-03-12 17:30,146.86,14.6057,816.90,27.58,1152.55,0.81,816.90,27.58,49.81,1.68
20,Entry Short,Entry Short,2020-03-10 07:45,203.30,14.5681,822.22,27.76,1974.77,0.81,822.22,27.76,42.25,1.43
20,Exit Short,Exit Short,2020-03-12 17:30,146.86,14.5681,822.22,27.76,1974.77,0.81,822.22,27.76,42.25,1.43
21,Entry Short,Entry Short,2020-03-10 08:30,203.18,14.577,820.98,27.72,2795.75,0.81,820.98,27.72,44.02,1.49
21,Exit Short,Exit Short,2020-03-12 17:30,146.86,14.577,820.98,27.72,2795.75,0.81,820.98,27.72,44.02,1.49
22,Entry Short,Entry Short,2020-03-13 16:45,129.41,23.8376,-74.37,-2.41,2721.38,-0.07,347.31,11.26,244.81,7.94
22,Exit Short,Exit Short,2020-03-16 04:45,132.53,23.8376,-74.37,-2.41,2721.38,-0.07,347.31,11.26,244.81,7.94
23,Entry Short,Entry Short,2020-03-13 17:30,130.32,23.67,-52.31,-1.7,2669.07,-0.05,366.41,11.88,221.55,7.18
23,Exit Short,Exit Short,2020-03-16 04:45,132.53,23.67,-52.31,-1.7,2669.07,-0.05,366.41,11.88,221.55,7.18
24,Entry Short,Entry Short,2020-03-13 20:30,134.39,22.9136,42.62,1.38,2711.69,0.04,447.96,14.55,121.21,3.94
24,Exit Short,Exit Short,2020-03-16 04:45,132.53,22.9136,42.62,1.38,2711.69,0.04,447.96,14.55,121.21,3.94
25,Entry Short,Entry Short,2020-03-13 21:15,134.21,22.9308,38.52,1.25,2750.21,0.04,444.17,14.43,63.75,2.07
25,Exit Short,Exit Short,2020-03-16 04:45,132.53,22.9308,38.52,1.25,2750.21,0.04,444.17,14.43,63.75,2.07
26,Entry Short,Additional Short,2020-03-13 22:45,115.47,47,-801.82,-14.77,1948.39,-0.78,29.61,0.55,1011.44,18.64
26,Exit Short,Exit Short,2020-03-16 04:45,132.53,47,-801.82,-14.77,1948.39,-0.78,29.61,0.55,1011.44,18.64
27,Entry Short,Entry Short,2020-03-17 08:30,115.97,26.3682,-285.57,-9.34,1662.82,-0.28,161.11,5.27,285.57,9.34
27,Exit Short,Exit Short,2020-03-19 19:00,126.80,26.3682,-285.57,-9.34,1662.82,-0.28,161.11,5.27,285.57,9.34
28,Entry Short,Entry Short,2020-03-18 21:15,116.31,26.2863,-275.74,-9.02,1387.08,-0.27,93.05,3.04,275.74,9.02
28,Exit Short,Exit Short,2020-03-19 19:00,126.80,26.2863,-275.74,-9.02,1387.08,-0.27,93.05,3.04,275.74,9.02
29,Entry Short,Entry Short,2020-03-19 03:15,116.82,26.174,-261.22,-8.54,1125.86,-0.26,57.06,1.87,261.22,8.54
29,Exit Short,Exit Short,2020-03-19 19:00,126.80,26.174,-261.22,-8.54,1125.86,-0.26,57.06,1.87,261.22,8.54
30,Entry Short,Entry Short,2020-03-19 14:30,118.85,25.6819,-204.17,-6.69,921.69,-0.2,14.13,0.46,204.17,6.69
30,Exit Short,Exit Short,2020-03-19 19:00,126.80,25.6819,-204.17,-6.69,921.69,-0.2,14.13,0.46,204.17,6.69
31,Entry Short,Entry Short,2020-03-19 15:15,119.44,25.5443,-188.01,-6.16,733.68,-0.19,29.12,0.95,188.01,6.16
31,Exit Short,Exit Short,2020-03-19 19:00,126.80,25.5443,-188.01,-6.16,733.68,-0.19,29.12,0.95,188.01,6.16
32,Entry Long,Entry Long,2020-03-20 20:30,139.43,21.674,-312.97,-10.36,420.71,-0.31,120.07,3.97,312.97,10.36
32,Exit Long,Exit Long,2020-03-21 03:15,124.99,21.674,-312.97,-10.36,420.71,-0.31,120.07,3.97,312.97,10.36
33,Entry Long,Entry Long,2020-03-21 00:15,137.11,22.0266,-266.96,-8.84,153.75,-0.27,64.32,2.13,266.96,8.84
33,Exit Long,Exit Long,2020-03-21 03:15,124.99,22.0266,-266.96,-8.84,153.75,-0.27,64.32,2.13,266.96,8.84
34,Entry Long,Entry Long,2020-03-21 03:15,127.54,23.5844,-60.14,-2,93.61,-0.06,16.04,0.53,60.14,2
34,Exit Long,Exit Long,2020-03-21 03:15,124.99,23.5844,-60.14,-2,93.61,-0.06,16.04,0.53,60.14,2
35,Entry Long,Entry Long,2020-03-21 04:00,125.36,23.9553,93.90,3.13,187.51,0.09,431.20,14.36,140.38,4.67
35,Exit Long,Entry Short,2020-03-28 15:15,129.28,23.9553,93.90,3.13,187.51,0.09,431.20,14.36,140.38,4.67
36,Entry Long,Entry Long,2020-03-21 13:00,129.66,23.1777,-8.81,-0.29,178.71,-0.01,317.53,10.57,235.49,7.84
36,Exit Long,Entry Short,2020-03-28 15:15,129.28,23.1777,-8.81,-0.29,178.71,-0.01,317.53,10.57,235.49,7.84
37,Entry Long,Entry Long,2020-03-22 01:00,128.94,23.3061,7.92,0.26,186.63,0.01,336.07,11.18,220.01,7.32
37,Exit Long,Entry Short,2020-03-28 15:15,129.28,23.3061,7.92,0.26,186.63,0.01,336.07,11.18,220.01,7.32
38,Entry Long,Entry Long,2020-03-22 07:45,131.12,22.9505,-42.23,-1.4,144.40,-0.04,280.91,9.33,266.68,8.86
38,Exit Long,Entry Short,2020-03-28 15:15,129.28,22.9505,-42.23,-1.4,144.40,-0.04,280.91,9.33,266.68,8.86
39,Entry Long,Entry Long,2020-03-22 16:00,132.57,22.7272,-74.77,-2.48,69.63,-0.07,245.23,8.14,297.04,9.86
39,Exit Long,Entry Short,2020-03-28 15:15,129.28,22.7272,-74.77,-2.48,69.63,-0.07,245.23,8.14,297.04,9.86
40,Entry Short,Entry Short,2020-03-28 15:15,129.28,23.2231,-79.89,-2.66,-10.26,-0.08,127.03,4.23,142.59,4.75
40,Exit Short,Entry Long,2020-04-01 07:00,132.72,23.2231,-79.89,-2.66,-10.26,-0.08,127.03,4.23,142.59,4.75
41,Entry Short,Entry Short,2020-03-28 16:00,129.42,23.1938,-76.54,-2.55,-86.80,-0.08,130.12,4.33,139.16,4.64
41,Exit Short,Entry Long,2020-04-01 07:00,132.72,23.1938,-76.54,-2.55,-86.80,-0.08,130.12,4.33,139.16,4.64
42,Entry Short,Entry Short,2020-03-29 04:00,130.77,22.9493,-44.75,-1.49,-131.55,-0.04,159.73,5.32,106.71,3.56
42,Exit Short,Entry Long,2020-04-01 07:00,132.72,22.9493,-44.75,-1.49,-131.55,-0.04,159.73,5.32,106.71,3.56
43,Entry Short,Entry Short,2020-03-30 11:30,126.97,23.6907,-136.22,-4.53,-267.77,-0.14,3.32,0.11,200.19,6.66
43,Exit Short,Entry Long,2020-04-01 07:00,132.72,23.6907,-136.22,-4.53,-267.77,-0.14,3.32,0.11,200.19,6.66
44,Entry Short,Entry Short,2020-03-30 12:15,129.66,23.1413,-70.81,-2.36,-338.58,-0.07,10.64,0.35,133.29,4.44
44,Exit Short,Entry Long,2020-04-01 07:00,132.72,23.1413,-70.81,-2.36,-338.58,-0.07,10.64,0.35,133.29,4.44
45,Entry Long,Entry Long,2020-04-01 07:00,132.72,22.5274,463.61,15.51,125.03,0.47,979.94,32.78,92.36,3.09
45,Exit Long,Exit Long,2020-04-10 22:00,153.30,22.5274,463.61,15.51,125.03,0.47,979.94,32.78,92.36,3.09
46,Entry Long,Entry Long,2020-04-03 22:00,141.79,21.1339,243.25,8.12,368.28,0.24,727.64,24.28,95.74,3.19
46,Exit Long,Exit Long,2020-04-10 22:00,153.30,21.1339,243.25,8.12,368.28,0.24,727.64,24.28,95.74,3.19
47,Entry Long,Entry Long,2020-04-03 22:45,141.08,21.2279,259.40,8.66,627.69,0.26,745.95,24.91,81.09,2.71
47,Exit Long,Exit Long,2020-04-10 22:00,153.30,21.2279,259.40,8.66,627.69,0.26,745.95,24.91,81.09,2.71
48,Entry Long,Entry Long,2020-04-03 23:30,138.80,21.5447,312.40,10.45,940.09,0.31,806.20,26.96,4.09,0.14
48,Exit Long,Exit Long,2020-04-10 22:00,153.30,21.5447,312.40,10.45,940.09,0.31,806.20,26.96,4.09,0.14
49,Entry Long,Entry Long,2020-04-04 10:00,139.71,21.4213,291.12,9.73,1231.20,0.29,782.09,26.13,17.78,0.59
49,Exit Long,Exit Long,2020-04-10 22:00,153.30,21.4213,291.12,9.73,1231.20,0.29,782.09,26.13,17.78,0.59
50,Entry Short,Entry Short,2020-04-11 02:30,158.57,19.1556,-236.57,-7.79,994.63,-0.23,196.15,6.46,236.57,7.79
50,Exit Short,Exit Short,2020-04-16 15:15,170.92,19.1556,-236.57,-7.79,994.63,-0.23,196.15,6.46,236.57,7.79
51,Entry Short,Entry Short,2020-04-11 05:30,159.29,19.0616,-221.69,-7.3,772.94,-0.22,208.92,6.88,221.69,7.3
51,Exit Short,Exit Short,2020-04-16 15:15,170.92,19.0616,-221.69,-7.3,772.94,-0.22,208.92,6.88,221.69,7.3
52,Entry Short,Entry Short,2020-04-11 09:15,159.82,18.9945,-210.84,-6.95,562.10,-0.21,218.25,7.19,210.84,6.95
52,Exit Short,Exit Short,2020-04-16 15:15,170.92,18.9945,-210.84,-6.95,562.10,-0.21,218.25,7.19,210.84,6.95
53,Entry Short,Entry Short,2020-04-11 10:00,159.82,18.9945,-210.84,-6.95,351.26,-0.21,218.25,7.19,210.84,6.95
53,Exit Short,Exit Short,2020-04-16 15:15,170.92,18.9945,-210.84,-6.95,351.26,-0.21,218.25,7.19,210.84,6.95
54,Entry Short,Entry Short,2020-04-11 11:30,160.81,18.8648,-190.72,-6.29,160.54,-0.19,235.43,7.76,190.72,6.29
54,Exit Short,Exit Short,2020-04-16 15:15,170.92,18.8648,-190.72,-6.29,160.54,-0.19,235.43,7.76,190.72,6.29
55,Entry Long,Entry Long,2020-04-19 13:00,180.34,16.6619,428.38,14.26,588.92,0.43,782.44,26.04,227.27,7.56
55,Exit Long,Entry Short,2020-05-04 21:15,206.05,16.6619,428.38,14.26,588.92,0.43,782.44,26.04,227.27,7.56
56,Entry Long,Entry Long,2020-04-19 21:15,177.41,16.9298,484.87,16.14,1073.79,0.48,844.63,28.12,181.32,6.04
56,Exit Long,Entry Short,2020-05-04 21:15,206.05,16.9298,484.87,16.14,1073.79,0.48,844.63,28.12,181.32,6.04
57,Entry Long,Entry Long,2020-04-20 17:30,180.39,16.6658,427.64,14.22,1501.43,0.42,781.79,26,228.15,7.59
57,Exit Long,Entry Short,2020-05-04 21:15,206.05,16.6658,427.64,14.22,1501.43,0.42,781.79,26,228.15,7.59
