Symbol,ETHUSDT,,,,,,,,,,,,,,,,,
DateTime,2020-03-01 => 2022-01-31,,,,,,,,,,,,,,,,,
default_qty_value,3,,,,,,,,,,,,,,,,,
initial_capital,100000,,,,,,,,,,,,,,,,,
default_qty_type,strategy.percent_of_equity,,,,,,,,,,,,,,,,,
Strategy,RSI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Timeframe,1m,3m,5m,,15m,,30m,,45m,,1h,,2h,,3h,,4h,
,,,All NONE,All %,All NONE,All %,All NONE,All %,All NONE,All %,All NONE,All %,All NONE,All %,All NONE,All %,All NONE,All %
Net Profit,,,867.85,0.87,-4098.62,-4.1,2754.51,2.75,19943.31,19.94,7685.41,7.69,20069.95,20.07,29990.64,29.99,41898.98,41.9
Gross Profit,,,8286.05,8.29,27408.4,27.41,87213.2,87.21,84776.05,84.78,65749.45,65.75,57249.29,57.25,63996.54,64,64494.15,64.49
Gross Loss,,,7418.2,7.42,31507.02,31.51,84458.69,84.46,64832.74,64.83,58064.04,58.06,37179.33,37.18,34005.9,34.01,22595.16,22.6
Max Drawdown,,,4407.62,4.4,10344.98,10.2,16002.49,13.62,12144.59,9.57,11604.27,10.22,6455.99,6.18,6807.84,5.71,4932.2,4.93
Buy & Hold Return,,,-25281.89,-25.28,47473.32,47.47,1299291.12,1299.29,1299460.52,1299.46,1300869.22,1300.87,1318753.14,1318.75,1298615.85,1298.62,1298477.89,1298.48
Sharpe Ratio,,,0.019,,-0.242,,0,,0.245,,0.063,,0.215,,0.317,,0.478,
Sortino Ratio,,,0.053,,-0.307,,-0.001,,0.475,,0.121,,0.411,,0.671,,1.424,
Profit Factor,,,1.117,,0.87,,1.033,,1.308,,1.132,,1.54,,1.882,,2.854,
Max Contracts Held,,,4,,8,,121,,140,,132,,152,,110,,107,
Open PL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commission Paid,,,0,,0,,0,,0,,0,,0,,0,,0,
Total Closed Trades,,,214,,509,,928,,630,,544,,278,,217,,191,
Total Open Trades,,,0,,0,,0,,0,,0,,0,,0,,0,
Number Winning Trades,,,57,,139,,286,,203,,177,,105,,87,,91,
Number Losing Trades,,,157,,370,,642,,427,,367,,173,,130,,100,
Percent Profitable,,,26.64,,27.31,,30.82,,32.22,,32.54,,37.77,,40.09,,47.64,
Avg Trade,,,4.06,0,-8.05,-0.01,2.97,0,31.66,0.03,14.13,0.01,72.19,0.07,138.21,0.14,219.37,0.22
Avg Winning Trade,,,145.37,0.15,197.18,0.2,304.94,0.3,417.62,0.42,371.47,0.37,545.23,0.55,735.59,0.74,708.73,0.71
Avg Losing Trade,,,47.25,0.05,85.15,0.09,131.56,0.13,151.83,0.15,158.21,0.16,214.91,0.21,261.58,0.26,225.95,0.23
Ratio Avg Win / Avg Loss,,,3.077,,2.316,,2.318,,2.75,,2.348,,2.537,,2.812,,3.137,
Largest Winning Trade,,,1002.79,34.88,1257.42,27.08,1634.94,56.01,2013.39,64.86,1726.91,55.12,2239.45,65.57,2314.04,70.99,2686.54,67.49
Largest Losing Trade,,,259.58,8.76,304.36,10.05,894.21,20.78,801.82,14.77,621.99,20.94,1434.54,23.01,1109.31,26.02,542.56,16.88
Avg # Bars in Trades,,,304,,165,,146,,143,,118,,109,,89,,75,
Avg # Bars in Winning Trades,,,852,,327,,266,,252,,198,,182,,158,,119,
Avg # Bars in Losing Trades,,,105,,104,,93,,91,,79,,65,,42,,34,
Margin Calls,,,0,,0,,0,,0,,0,,0,,0,,0,
